#Microcyc Name	#RefSeq Name	#PGDB Name	#Microcyc TaxID	#Microcyc ID	#Reason to keep
caldisphaera lagunensis dsm 15908	caldisphaera lagunensis dsm 15908	1056495.rep1Ucyc	1056495	2697	Same ID Same Tax ID
pyrococcus yayanosii ch1	pyrococcus yayanosii ch1	529709.rep1Ucyc	529709	2855	Same ID Same Tax ID
acidianus hospitalis w1	acidianus hospitalis w1	933801.rep1Ucyc	933801	2997	Same ID Same Tax ID
haloferax volcanii ds2	haloferax volcanii ds2	309800.rep1Ucyc	309800	2998	Same ID Same Tax ID
halorhabdus utahensis dsm 12940	halorhabdus utahensis dsm 12940	519442.rep1Ucyc	519442	2999	Same ID Same Tax ID
metallosphaera cuprina ar-4	metallosphaera cuprina ar-4	1006006.rep1Ucyc	1006006	3000	Same ID Same Tax ID
methanoregula boonei 6a8	methanoregula boonei 6a8	456442.rep1Ucyc	456442	3001	Same ID Same Tax ID
methanothermobacter marburgensis marburg	methanothermobacter marburgensis str. marburg	79929.rep1Ucyc	79929	3002	Microcyc Name in RefSeq Name and Same TaxID
pyrococcus sp. na2	pyrococcus sp. na2	342949.nan1Scyc	342949	3003	Same ID Same Tax ID
sulfolobus islandicus m.16.27	sulfolobus islandicus m.16.27	427318.nan1Ucyc	427318	3004	Same ID Same Tax ID
vulcanisaeta moutnovskia 768-28	vulcanisaeta moutnovskia 768-28	985053.rep1Ucyc	985053	3005	Same ID Same Tax ID
natrinema pellirubrum dsm 15624	natrinema pellirubrum dsm 15624	797303.rep1Ucyc	797303	3006	Same ID Same Tax ID
pyrococcus sp. st04	pyrococcus sp. st04	1183377.nan1Scyc	1183377	3226	Same ID Same Tax ID
thermococcus barophilus mp	thermococcus barophilus mp	391623.rep1Ucyc	391623	3228	Same ID Same Tax ID
caldivirga maquilingensis ic-167	caldivirga maquilingensis ic-167	397948.rep1Ucyc	397948	3532	Same ID Same Tax ID
vulcanisaeta distributa dsm 14429	vulcanisaeta distributa dsm 14429	572478.nan1Ucyc	572478	3533	Same ID Same Tax ID
halorubrum lacusprofundi atcc 49239	halorubrum lacusprofundi atcc 49239	416348.rep1Ucyc	416348	3785	Same ID Same Tax ID
halogeometricum borinquense dsm 11551	halogeometricum borinquense dsm 11551	469382.rep1Ucyc	469382	3839	Same ID Same Tax ID
thermoplasmatales archaeon brna1	thermoplasmatales archaeon brna1	1054217.rep1Scyc	1054217	4119	Same ID Same Tax ID
methanohalophilus mahii dsm 5219	methanohalophilus mahii dsm 5219	547558.rep1Ucyc	547558	6128	Same ID Same Tax ID
natronobacterium gregoryi sp2	natronobacterium gregoryi sp2	797304.rep1Ucyc	797304	6169	Same ID Same Tax ID
methanohalobium evestigatum z-7303	methanohalobium evestigatum z-7303	644295.rep1Ucyc	644295	6173	Same ID Same Tax ID
natronococcus occultus sp4	natronococcus occultus sp4	694430.rep1Ucyc	694430	6174	Same ID Same Tax ID
halomicrobium mukohataei dsm 12286	halomicrobium mukohataei dsm 12286	485914.rep1Ucyc	485914	7025	Same ID Same Tax ID
halophilic archaeon dl31	halophilic archaeon dl31	756883.rep1Scyc	756883	7026	Same ID Same Tax ID
desulfurococcus mucosus dsm 2162	desulfurococcus mucosus dsm 2162	765177.rep1Ucyc	765177	7338	Same ID Same Tax ID
thermoproteus tenax kra 1	thermoproteus tenax kra 1	768679.nan1Ucyc	768679	7538	Same ID Same Tax ID
thermofilum adornatus	thermofilum adornatus	1365176.nan1Scyc	1365176	8519	Same ID Same Tax ID
thermofilum carboxyditrophus 1505	thermofilum carboxyditrophus 1505	697581.nan1Ucyc	697581	8520	Same ID Same Tax ID
thermofilum uzonense 1807-2	thermofilum uzonense 1807-2	1550241.nan1Scyc	1550241	8521	Same ID Same Tax ID
Sulfolobus solfataricus 98/2	Saccharolobus solfataricus 98/2	555311.nan1Ucyc	555311	3531	Unique TaxID and PGDB
uncultured methanogenic archaeon RC-I	Methanocella arvoryzae MRE50	351160.rep1Ucyc	351160	273	Unique TaxID and PGDB
Thermococcus gammatolerans EJ3 EJ3; DSM 15229	Thermococcus gammatolerans EJ3	593117.nan1Ucyc	593117	1408	Unique TaxID and PGDB
Sulfolobus solfataricus P2	Saccharolobus solfataricus P2	273057.nan1Ucyc	273057	11	Unique TaxID and PGDB
Desulfurococcus kamchatkensis 1221n	Desulfurococcus amylolyticus 1221n	490899.rep1Ucyc	490899	7337	Unique TaxID and PGDB
Desulfurococcus fermentans DSM 16532	Desulfurococcus amylolyticus DSM 16532	768672.nan1Ucyc	768672	4764	Unique TaxID and PGDB
Sulfolobus tokodaii 7	Sulfurisphaera tokodaii str. 7	273063.rep1Ucyc	273063	269	Unique TaxID and PGDB
Haloquadratum walsbyi C23 DSM 16854	Haloquadratum walsbyi C23	768065.rep1Ucyc	768065	3786	Unique TaxID and PGDB
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1 Mx1-Issoire	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	1295009.nan1Ucyc	1295009	4118	Unique TaxID and PGDB
Methanosaeta concilii GP-6	Methanothrix soehngenii GP6	990316.rep1Ucyc	990316	1143	Unique TaxID and PGDB
Halobacterium sp. NRC-1	Halobacterium salinarum NRC-1	64091.rep1Ucyc	64091	247	Unique TaxID and PGDB
Halobacterium salinarum R1 R1; DSM 671	Halobacterium salinarum R1	478009.nan1Ucyc	478009	2696	Unique TaxID and PGDB
Methanoculleus bourgensis MS2 type strain:MS2	Methanoculleus bourgensis MS2	1201294.rep1Ucyc	1201294	2201	Unique TaxID and PGDB
