1547899	1
333146	1
1301915	1
55802	1
588898	1
1006006	1
39152	2
1041930	1
756883	1
1028566	1
1911685	1
478009	1
439481	1
1550241	1
416348	1
1434103	1
1434123	1
456320	1
83986	1
573063	1
273075	1
351160	1
1432656	1
259564	1
1603555	1
59277	2
591019	1
797210	1
796385	1
1183377	1
593750	1
877455	1
633148	1
187420	1
1365176	1
387631	1
679901	1
795797	1
999630	1
1291540	1
53952	1
523844	1
1434109	1
1053692	1
230361	1
797299	1
309800	1
273116	1
1873524	2
593117	1
294671	1
246969	1
163003	1
263820	1
410358	1
1505907	1
192952	1
397948	1
1434117	1
391623	1
1434107	1
1343739	1
589924	1
444158	1
1609968	1
1679096	1
619593	1
866790	1
79929	1
402880	1
755307	1
2086290	1
71997	1
1932360	1
644281	1
456442	1
523846	1
118062	1
1293036	1
679926	1
113653	1
1295009	1
41673	1
35746	1
1056495	1
543526	1
637915	1
926571	1
269797	1
880724	1
572546	1
666510	1
1434108	1
1580092	1
1604004	2
1185654	1
64091	1
523849	1
74969	1
768679	1
1609559	1
1033806	1
573064	1
1094980	1
1379702	1
453591	1
1434100	1
70601	1
2044521	1
188937	1
399549	1
374847	1
419665	1
572478	1
1028567	1
243232	1
419942	1
1932004	1
72803	1
1434118	1
195522	1
604354	1
647113	1
751944	1
1712654	1
485914	1
358396	1
71998	1
122420	1
1592728	1
555311	1
1229909	1
43687	5
273063	1
426368	1
1417673	1
1434111	1
1673428	1
54262	2
1577685	1
54077	1
415426	1
368407	1
1344584	1
362976	1
547558	1
1898749	1
427317	1
490899	1
1048396	1
644295	1
1410606	1
2285	5
1333523	1
697581	1
765177	1
69014	1
985053	1
1073996	1
49899	1
2008440	1
521011	1
867904	1
427318	1
1054217	1
429572	1
272844	1
1434104	1
990316	1
213585	1
2055893	1
224719	1
406552	1
339860	1
268739	1
368408	1
523841	1
1434110	1
439386	1
1273541	1
1891280	1
523850	1
1042877	1
272569	1
694429	1
1236689	1
342949	1
768065	1
1293037	1
384616	1
420247	1
868131	1
469382	1
2287	4
399550	1
2173	1
673860	1
1846278	1
1241935	1
547559	1
1434120	1
930945	1
1407499	1
187880	1
2177	1
145261	1
224325	1
529709	1
1201294	1
267377	1
348780	1
330779	1
582419	1
1920749	1
634497	1
29284	1
2045011	1
1674923	1
277988	1
406327	1
323259	1
1789762	1
1434099	1
1547898	1
186497	1
933801	1
86622	1
1434115	1
565033	1
797303	1
634498	1
1495144	1
768672	1
693661	1
1434106	1
2016361	1
694430	1
2162	1
1577791	1
579137	1
1110509	1
519442	1
940295	1
1434102	1
1434113	1
1434114	1
273057	1
1184251	1
797304	1
745377	1
